ChunkID, Package Name, Class Type, Hard or Soft Chunk, File Size, Other Chunks
0,/DefendTheArtifact/__Generated/DefendTheArtifactPrimalDinoDB,/Script/ShooterGame.PrimalDinoDB,Hard,26222,None
0,/DefendTheArtifact/__Generated/DefendTheArtifactPrimalMissionDB,/Script/ShooterGame.PrimalMissionDB,Hard,1212,None
0,/DefendTheArtifact/__Generated/DefendTheArtifactPrimalStructureDB,/Script/ShooterGame.PrimalStructureDB,Hard,800,None
7,/DefendTheArtifact/Actor/BP_DefendArtifactStructure,/Script/Engine.Blueprint,Hard,31481,None
7,/DefendTheArtifact/Actor/BP_DefendArtifactStructure,/Script/Engine.BlueprintGeneratedClass,Hard,31481,None
7,/DefendTheArtifact/Actor/BP_DefendTheArtifact_CCA,/Script/Engine.Blueprint,Hard,40361,None
7,/DefendTheArtifact/Actor/BP_DefendTheArtifact_CCA,/Script/Engine.BlueprintGeneratedClass,Hard,40361,None
7,/DefendTheArtifact/Actor/BP_DynamicStructurePreventionZone,/Script/Engine.Blueprint,Hard,15405,None
7,/DefendTheArtifact/Actor/BP_DynamicStructurePreventionZone,/Script/Engine.BlueprintGeneratedClass,Hard,15405,None
7,/DefendTheArtifact/Actor/PrimalBuff_MissionDataArtifact,/Script/Engine.Blueprint,Hard,4742,None
7,/DefendTheArtifact/Actor/PrimalBuff_MissionDataArtifact,/Script/Engine.BlueprintGeneratedClass,Hard,4742,None
7,/DefendTheArtifact/Actor/SpawnPointFloor,/Script/Engine.Blueprint,Hard,13202,None
7,/DefendTheArtifact/Actor/SpawnPointFloor,/Script/Engine.BlueprintGeneratedClass,Hard,13202,None
7,/DefendTheArtifact/Actor/StructureSettings_Artifact,/Script/Engine.Blueprint,Hard,2599,None
7,/DefendTheArtifact/Actor/StructureSettings_Artifact,/Script/Engine.BlueprintGeneratedClass,Hard,2599,None
7,/DefendTheArtifact/Data/DinoWaveData,/Script/CoreUObject.UserDefinedStruct,Hard,2805,None
7,/DefendTheArtifact/Data/DinoWaveData_Base,/Script/Engine.Blueprint,Hard,5280,None
7,/DefendTheArtifact/Data/DinoWaveData_Base,/Script/Engine.BlueprintGeneratedClass,Hard,5280,None
0,/DefendTheArtifact/Data/DinoWaveData_RexOnlyTest,/Script/Engine.Blueprint,Soft: Unknown reference chain. Soft From Unassigned Package?,3442,None
0,/DefendTheArtifact/Data/DinoWaveData_RexOnlyTest,/Script/Engine.BlueprintGeneratedClass,Soft: Unknown reference chain. Soft From Unassigned Package?,3442,None
7,/DefendTheArtifact/Data/DinoWaveData_Tier1,/Script/Engine.Blueprint,Hard,5971,None
